Black Betty Schwartzbier,5,0,beer
Black Butte Porter,5.2,0,beer
Black Butte XXI,11,0,beer
Black Cat,3.4,0,beer
Black Cat Stout,6.15,0,beer
Black Cat Stout,6,0,beer
Black Chocolate Stout,10,0,beer
Black H2O Oatmeal Stout,6.2,0,beer
Black Hawk,45,1.5,shot
Black Heart Stout,6.6,0,beer
Black Hole,7,0,beer
Black Lab Stout,5.7,0,beer
Black Label LA,2,0,mixedDrink
Black Magick,15,0,beer
Black Marlin Porter,6,0,beer
Black Mo Stout,4.6,0,beer
Black Mocha Stout,5.3,0,beer
Black Ops,11,0,beer
Black Orchard,5.7,0,beer
Black Russian,10,5,mixedDrink
Black Rye Bock,6.2,0,beer
Black Stallion Oatmeal Stout,4.8,0,beer
Black Strap Stout,6,0,beer
Black Tulip,9,0,beer
Black Velvet,40,1.5,shot
Black Xantus,10,0,beer
Blackbeary Wheat,4,0,beer
Blackberry Ale,5.2,0,beer
Blackburn Doppelbock,7.9,0,beer
Blackened Voodoo,5,0,beer
Blackfriar,7,0,beer
Blackout,5,0,beer
Blackout Stout,9,0,beer
Blacksburger Pils,4.7,0,beer
Blackstone Stout,5.9,0,beer
Blackstone Stout,4.4,0,beer
Blanche,5,0,beer
Blanche de Bruges,5,0,beer
Blanche de Chambly,5,0,beer
Blanche de Namur,4.5,0,beer
Blanche des Honnelles,6,0,beer
Blanche des Moines,4.5,0,beer
Blanche Double,6,0,beer
Blasphemy,11.8,0,beer
Blast Furnace Oatmeal Stout,4.8,0,beer
Blind Date Ale,7,0,beer
Blind Pig Dunkelweizen,4.7,0,beer
Blind Pig IPA,6,0,beer
Blind Tiger Pale Ale,4.8,0,beer
Blithering Idiot,11.1,0,beer
Blitzen Christmas Ale,8.5,0,beer
Blizzard Bock,6.1,0,beer
Bloesem Bink,7.1,0,beer
Blond,4.8,0,beer
Blonde,7.5,0,beer
Blonde,7.5,0,beer
Blonde,6,0,beer
Blonde,3,0,beer
Blonde Bock,7,0,beer
Blonde Draft,4.8,0,beer
Blonde Lager,4.5,0,beer
Blonde Tradition,6.2,0,beer
Bloody Mary,12.4,8,mixedDrink
Blue,4.9,0,beer
Blue Bell Bitter,5.4,0,beer
Blue Carousel,27,1.5,shot
Blue Curacao,30,0,mixedDrink
Blue Dot Double India Pale Ale,7,0,beer
Blue Goat,7.5,0,beer
Blue Heron Pale Ale,4.9,0,beer
Blue Moon Belgian White,5.4,12,beer
Blue Paddle Pilsener,4.8,0,beer
Bluejackets Best,6.25,0,beer
Bob's '47 Oktoberfest,5.8,0,beer
Bock,5.5,0,beer
Bock,5,0,beer
Bock Beer,5.9,0,beer
Bockbier,7,0,beer
Bodacious Black and Tan,7.8,0,beer
Bohemian Blonde,4.7,0,beer
Bols Anisette,25,1.5,shot
Bols Triple Sec,21,1.5,shot
Boltwood Bock,5.7,0,beer
Bombardier Premium Ale,5.2,0,beer
Bombay Gin,43,0,mixedDrink
Bombshell Barleywine,9.8,0,beer
